Data Structures, Done, Algorithms, Done
Dynamic Array,,Bit Manipulation & Numbers � difference btw Unsigned vs signed numbers,
Linked List,,Stability in Sorting,
Stack & Queue,,Mergesort,
Hash Tables,,Quicksort,
Binary Search Tree,,Heapsort Sort it in-place to get O(1) space,
Binary Heaps & Priority Queue,,Binary Search,
Graphs,,"Selections Kth Smallest Elements (Sort, QuickSelect, Mediums of Mediums) Implement all three ways",
Trie,,Permutations,
,,Subsets,
,,BFS Graph,
,,DFS Graph,
,,Dijkstras Algorithm,
,,"Tree Traversals BFS, DFS (in-order, pre-order, post-order): Implement Recursive and Iterative",
,,External Sort No implementation;,
,,NP-Complete,
,,Topological Sort,
,,Detect cycle in an undirected graph,
,,Detect a cycle in a directed graph,
,,Count connected components in a graph,
,,Find strongly connected components in a graph,
